EntryID,ID,Title,URL
ACM_1_1,DOI:10.1145/3498361.3538938,Reverse engineering and retrofitting robotic aerial vehicle control firmware using dispatch,https://doi.org/10.1145/3498361.3538938
ACM_1_2,DOI:10.1145/3408877.3439630,Criminal Investigations: An InteractiveExperience to Improve Student Engagement and Achievement in Cybersecurity courses,https://doi.org/10.1145/3408877.3439630
ACM_1_3,DOI:10.1109/ASP-DAC52403.2022.9712594,FirVer: Concolic Testing for Systematic Validation of Firmware Binaries,https://doi.org/10.1109/ASP-DAC52403.2022.9712594
ACM_1_4,DOI:10.1145/3548606.3560612,SymLM: Predicting Function Names in Stripped Binaries via Context-Sensitive Execution-Aware Code Embeddings,https://doi.org/10.1145/3548606.3560612
ACM_1_5,DOI:10.1145/3395363.3397370,How far we have come: testing decompilation correctness of C decompilers,https://doi.org/10.1145/3395363.3397370
ACM_1_7,DOI:10.1145/3338508.3359571,Breaking Mobile Firmware Encryption through Near-Field Side-Channel Analysis,https://doi.org/10.1145/3338508.3359571
ACM_1_8,DOI:10.1145/3292006.3300026,BootKeeper: Validating Software Integrity Properties on Boot Firmware Images,https://doi.org/10.1145/3292006.3300026
ACM_3_1,DOI:10.1145/3510454.3516861,CIDER: concept-based interactive design recovery,https://doi.org/10.1145/3510454.3516861
ACM_3_2,,Program comprehension with dynamic recovery of code collaboration patterns and roles,
ACM_3_3,DOI:10.1145/3196321.3196339,Aiding comprehension of unit test cases and test suites with stereotype-based tagging,https://doi.org/10.1145/3196321.3196339
ACM_3_4,DOI:10.1145/1858996.1859033,Tool support for continuous maintenance of state machine models in program code,https://doi.org/10.1145/1858996.1859033
ACM_3_5,DOI:10.1145/1134285.1134353,Redesigning legacy applications for the web with UWAT+: a case study,https://doi.org/10.1145/1134285.1134353
ACM_3_6,DOI:10.1145/1081706.1081765,"Reengineering towards components using ""Reconn-exion""",https://doi.org/10.1145/1081706.1081765
ACM_3_8,DOI:10.1145/3196321.3196337,How do design decisions affect the distribution of software metrics?,https://doi.org/10.1145/3196321.3196337
ACM_3_9,DOI:10.1145/2480362.2480564,Automatic recognition of design motifs using semantic conditions,https://doi.org/10.1145/2480362.2480564
ACM_3_10,DOI:10.1145/3377811.3380405,Software documentation: the practitioners' perspective,https://doi.org/10.1145/3377811.3380405
ACM_3_11,DOI:10.1145/2591062.2591158,Teaching students to understand large programs by understanding historical context,https://doi.org/10.1145/2591062.2591158
ACM_3_12,,Patterns for program reverse engineering from the viewpoint of metamodel,
ACM_3_13,DOI:10.1145/1082473.1082562,Comprehending agent software,https://doi.org/10.1145/1082473.1082562
ACM_3_14,,"Exploration, analysis, and manipulation of source code using srcML",
ACM_3_15,DOI:10.1145/1925805.1925808,A software reverse engineering experience,https://doi.org/10.1145/1925805.1925808
ACM_3_16,DOI:10.1145/1842752.1842767,Unifying software architecture with its implementation,https://doi.org/10.1145/1842752.1842767
ACM_3_17,DOI:10.1007/11561347_1,Object-oriented reengineering patterns — an overview,https://doi.org/10.1007/11561347_1
ACM_3_18,DOI:10.1145/1056018.1056045,On the use of visualization to support awareness of human activities in software development: a survey and a framework,https://doi.org/10.1145/1056018.1056045
ACM_3_19,,Practical language-independent detection of near-miss clones,
ACM_4_1,DOI:10.1145/1141277.1141570,Application modeling using reverse engineering techniques,https://doi.org/10.1145/1141277.1141570
ACM_4_2,DOI:10.1145/2522968.2522972,Binary-code obfuscations in prevalent packer tools,https://doi.org/10.1145/2522968.2522972
ACM_4_3,DOI:10.1145/3387904.3389283,How do Students Experience and Judge Software Comprehension Techniques?,https://doi.org/10.1145/3387904.3389283
ACM_4_4,DOI:10.1145/3338906.3342505,Tackling knowledge needs during software evolution,https://doi.org/10.1145/3338906.3342505
ACM_4_5,DOI:10.1145/3338503.3357718,Modern Static Analysis of Obfuscated Code,https://doi.org/10.1145/3338503.3357718
